strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,BTCUSD,SHORT,2026-02-22 02:15:00+00:00,2026-02-22 02:45:00+00:00,68167.125,68230.08130615277,67997.4609375,67877.371875,1.59,157.43776193996192,244.76104148453948,trail,0.5,Asian Scalp Short | Range 67797.31250–68197.60938 | RSI=65.7 H1RSI=50.0
S03_AsianRange,BTCUSD,SHORT,2026-03-02 01:20:00+00:00,2026-03-02 02:05:00+00:00,66837.3046875,67137.22137923446,66378.43359375,66006.234375,0.34,484.5148318744938,163.5450428373279,trail,0.75,Asian Scalp Short | Range 65758.10156–66998.76562 | RSI=70.0 H1RSI=48.7
S03_AsianRange,BTCUSD,LONG,2026-03-04 03:40:00+00:00,2026-03-04 05:40:00+00:00,67603.1328125,67332.94728211702,68165.21484375,68594.7796875,0.39,508.95886265994864,197.12895643737997,trail,2.0,Asian Scalp Long | Range 67449.27344–68881.15625 | RSI=30.9 H1RSI=56.1
S03_AsianRange,BTCUSD,SHORT,2026-03-11 05:00:00+00:00,2026-03-11 05:35:00+00:00,70142.796875,70323.9775147834,69855.08203125,69614.2546875,0.59,281.71630821332684,164.14762184586283,trail,0.5833333333333334,Asian Scalp Short | Range 69453.70312–70256.46094 | RSI=66.9 H1RSI=50.5
S03_AsianRange,BTCUSD,SHORT,2026-03-18 03:40:00+00:00,2026-03-18 05:25:00+00:00,74611.4375,74673.10800432671,74111.01953125,73808.715625,1.75,351.6645971742409,609.2880450549216,trail,1.75,Asian Scalp Short | Range 73607.17969–74614.85938 | RSI=69.6 H1RSI=46.9
S03_AsianRange,BTCUSD,SHORT,2026-03-19 03:25:00+00:00,2026-03-19 04:05:00+00:00,71541.40625,71660.19649675408,71063.41796875,70745.1015625,0.96,553.6518871087061,528.1458116243579,trail,0.6666666666666666,Asian Scalp Short | Range 70532.89062–71593.94531 | RSI=72.1 H1RSI=28.5
S03_AsianRange,BTCUSD,SHORT,2026-03-23 05:25:00+00:00,2026-03-23 06:35:00+00:00,68711.6796875,68947.29341867272,68172.34375,67748.9640625,0.51,505.5800130525454,256.06080665679815,trail,1.1666666666666667,Asian Scalp Short | Range 67466.71094–68877.97656 | RSI=69.1 H1RSI=40.1
S03_AsianRange,BTCUSD,LONG,2026-03-24 05:15:00+00:00,2026-03-24 07:05:00+00:00,70203.2265625,70071.31062344892,70587.69140625,70862.390625,0.92,471.6736171153732,430.71972774614335,trail,1.8333333333333333,Asian Scalp Long | Range 70129.85938–71045.52344 | RSI=32.5 H1RSI=55.1
S03_AsianRange,BTCUSD,SHORT,2026-04-09 05:45:00+00:00,2026-04-09 08:40:00+00:00,71068.265625,71198.19374900838,70843.0859375,70654.221875,0.97,-147.1124990083772,-146.0941240381259,sl,2.9166666666666665,Asian Scalp Short | Range 70528.31250–71157.85938 | RSI=65.5 H1RSI=50.1
S03_AsianRange,XAUUSD,SHORT,2026-03-04 02:20:00+00:00,2026-03-04 03:00:00+00:00,5193.7001953125,5209.897134837857,5157.5,5131.5798828125,0.06,3475.4006312483084,208.31403787489853,trail,0.6666666666666666,Asian Scalp Short | Range 5114.29980–5200.70020 | RSI=68.0 H1RSI=46.5
