strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,BTCUSD,SHORT,2024-04-22 07:00:00+00:00,2024-04-22 17:00:00+00:00,66356.5703125,66769.80325948488,65498.7578125,64938.1796875,0.24,-421.14388448487443,-101.91453227636987,sl,10.0,Asian Scalp Short | Range 64564.46094–66433.05469 | RSI=69.6
S03_AsianRange,BTCUSD,SHORT,2024-06-03 07:00:00+00:00,2024-06-03 12:00:00+00:00,69000.609375,69387.64640404335,68372.48046875,67902.89375,0.26,-388.4714040433464,-101.91256505127006,sl,5.0,Asian Scalp Short | Range 67589.83594–69155.12500 | RSI=74.4
S03_AsianRange,BTCUSD,LONG,2024-06-11 07:00:00+00:00,2024-06-11 09:00:00+00:00,67619.1484375,67137.21670242195,68485.94921875,69124.028125,0.2,-512.0223600780446,-103.10447201560892,sl,2.0,Asian Scalp Long | Range 67422.48438–69549.41406 | RSI=23.4
S03_AsianRange,BTCUSD,LONG,2024-07-03 05:00:00+00:00,2024-07-03 09:00:00+00:00,60803.3828125,60474.779583517484,61447.28515625,61891.5359375,0.29,-319.00635398251325,-93.52684265492884,sl,4.0,Asian Scalp Long | Range 60706.86719–62187.70312 | RSI=23.8
S03_AsianRange,BTCUSD,LONG,2024-07-05 05:00:00+00:00,2024-07-05 16:00:00+00:00,53933.0390625,53179.94416434038,55559.916015625,56665.440625,0.13,4413.831640625009,268.7273671875006,tp2,11.0,Asian Scalp Long | Range 53717.37500–57402.45703 | RSI=18.2
S03_AsianRange,BTCUSD,SHORT,2024-07-10 05:00:00+00:00,2024-07-10 13:00:00+00:00,59288.97265625,59725.44869166576,58391.2734375,57810.37734375,0.23,1512.8093750000044,173.5705781250005,tp2,8.0,Asian Scalp Short | Range 57423.11328–59359.43359 | RSI=72.8
S03_AsianRange,BTCUSD,SHORT,2024-07-10 07:00:00+00:00,2024-07-10 13:00:00+00:00,59269.62109375,59723.29032996308,58391.2734375,57810.37734375,0.22,1445.4812500000044,158.6179375000005,tp2,6.0,Asian Scalp Short | Range 57423.11328–59359.43359 | RSI=69.5
S03_AsianRange,BTCUSD,SHORT,2024-07-15 06:00:00+00:00,2024-07-15 16:00:00+00:00,62785.4765625,63365.81227504403,61858.2734375,61166.2671875,0.18,-538.7661812940278,-97.607912632925,sl,10.0,Asian Scalp Short | Range 60704.92969–63011.61719 | RSI=78.6
S03_AsianRange,BTCUSD,SHORT,2024-07-15 07:00:00+00:00,2024-07-15 16:00:00+00:00,62924.53125,63354.78450093375,61858.2734375,61166.2671875,0.24,-444.33606343374413,-107.48065522409858,sl,9.0,Asian Scalp Short | Range 60704.92969–63011.61719 | RSI=79.4
S03_AsianRange,BTCUSD,SHORT,2024-07-16 03:00:00+00:00,2024-07-16 06:00:00+00:00,64821.33203125,65356.03306832063,63912.8515625,63266.60234375,0.19,1588.3695312500058,150.56260546875055,tp2,3.0,Asian Scalp Short | Range 62835.76953–64989.93359 | RSI=72.6
S03_AsianRange,BTCUSD,SHORT,2024-07-16 04:00:00+00:00,2024-07-16 06:00:00+00:00,64785.953125,65341.417927279865,63912.8515625,63266.60234375,0.19,1520.7914062500058,144.14268359375055,tp2,2.0,Asian Scalp Short | Range 62835.76953–64989.93359 | RSI=71.9
S03_AsianRange,BTCUSD,SHORT,2024-07-29 06:00:00+00:00,2024-07-29 14:00:00+00:00,69712.9453125,70126.27367905332,69002.83984375,68511.1046875,0.26,1199.2890625,155.452578125,tp2,8.0,Asian Scalp Short | Range 68183.28125–69822.39844 | RSI=71.8
S03_AsianRange,BTCUSD,LONG,2024-09-16 03:00:00+00:00,2024-09-16 08:00:00+00:00,58213.70703125,57941.8384801804,58684.572265625,58991.19453125,0.4,1151.7027343750087,217.69875000000178,tp2,5.0,Asian Scalp Long | Range 58173.53516–59195.60938 | RSI=17.2
S03_AsianRange,BTCUSD,LONG,2024-09-30 07:00:00+00:00,2024-09-30 09:00:00+00:00,64370.734375,64029.815256236245,64921.2265625,65336.525,0.33,-335.84177501375234,-111.98278575453828,sl,2.0,Asian Scalp Long | Range 64229.06250–65613.39062 | RSI=25.6
S03_AsianRange,BTCUSD,SHORT,2024-10-14 04:00:00+00:00,2024-10-14 08:00:00+00:00,64236.484375,64734.49516430865,63454.439453125,62856.57578125,0.22,-488.2928205586504,-108.19442052290309,sl,4.0,Asian Scalp Short | Range 62458.00000–64450.87891 | RSI=73.6
S03_AsianRange,BTCUSD,SHORT,2024-11-06 06:00:00+00:00,2024-11-06 20:00:00+00:00,74801.640625,76048.8406562727,72341.55859375,70529.8421875,0.09,-1265.6109687727003,-114.21998718954302,sl,14.0,Asian Scalp Short | Range 69322.03125–75361.08594 | RSI=80.1
S03_AsianRange,BTCUSD,SHORT,2024-11-21 05:00:00+00:00,2024-11-21 17:00:00+00:00,97537.25,98413.42624853895,95975.703125,94877.759375,0.12,0.0,-0.21,be,12.0,Asian Scalp Short | Range 94145.79688–97805.60938 | RSI=78.0
S03_AsianRange,BTCUSD,SHORT,2024-12-05 04:00:00+00:00,2024-12-05 19:00:00+00:00,103090.0390625,104359.59928505523,100827.0859375,99198.23125,0.09,3842.920312500006,172.77391406250027,tp2,15.0,Asian Scalp Short | Range 98112.32812–103541.84375 | RSI=77.2
S03_AsianRange,BTCUSD,SHORT,2024-12-05 05:00:00+00:00,2024-12-05 19:00:00+00:00,103298.90625,104355.194871837,100827.0859375,99198.23125,0.11,4165.756250000006,228.92409375000034,tp2,14.0,Asian Scalp Short | Range 98112.32812–103541.84375 | RSI=77.7
S03_AsianRange,BTCUSD,LONG,2024-12-18 06:00:00+00:00,2024-12-18 16:00:00+00:00,103497.3203125,102605.97146958984,104853.9609375,105811.471875,0.13,0.0,-0.2275,be,10.0,Asian Scalp Long | Range 103258.10938–106449.81250 | RSI=30.2
S03_AsianRange,BTCUSD,LONG,2025-01-08 07:00:00+00:00,2025-01-08 11:00:00+00:00,95294.0703125,94773.04080677805,96264.0625,96854.06875,0.22,-490.9716932219453,-108.78377250882797,sl,4.0,Asian Scalp Long | Range 95280.71875–97247.40625 | RSI=22.8
S03_AsianRange,BTCUSD,LONG,2025-01-27 07:00:00+00:00,2025-01-27 10:00:00+00:00,98859.171875,98324.9507177363,101020.53125,102319.83125,0.22,-609.6477197636996,-134.89249834801393,sl,3.0,Asian Scalp Long | Range 98855.03125–103186.03125 | RSI=12.6
S03_AsianRange,BTCUSD,SHORT,2025-01-30 05:00:00+00:00,2025-01-30 14:00:00+00:00,105505.59375,106143.54271639786,104502.6796875,103856.4046875,0.18,-644.0552163978573,-116.5599389516143,sl,9.0,Asian Scalp Short | Range 103425.55469–105579.80469 | RSI=74.4
S03_AsianRange,BTCUSD,LONG,2025-02-02 04:00:00+00:00,2025-02-02 11:00:00+00:00,99195.28125,98638.32805242258,100247.37890625,100938.9046875,0.2,0.0,-0.35000000000000003,be,7.0,Asian Scalp Long | Range 99094.83594–101399.92188 | RSI=25.0
